1000,홍길동,010-1000-1000,06106,모란아파트 101-1101,2000
1010,전우치,010-1010-2010,06051,이매아파트 101-1101,5000
1011,전우치,010-1010-1011,06235,분당아파트 101-1101,6000
1020,아수라,010-1010-1020,06051,수내아파트 101-1101,7000
1030,김치국,010-1010-1030,06234,정자아파트 101-1101,8000
1040,오상수,010-1010-1040,06051,태평아파트 101-1101,9000
1050,미리내,010-1010-1050,06119,이매아파트 101-1101,1200
1060,상무진,010-1010-1060,06051,이매아파트 101-1101,6600
1070,함진수,010-1010-1070,06051,이매아파트 101-1101,7700
1080,전두진,010-1010-1080,06051,이매아파트 101-1101,5500
1090,윤상철,010-1010-1090,06051,이매아파트 101-1101,9870
2010,오나나,010-1010-2010,06051,이매아파트 101-1101,4000
2020,박지우,010-1010-2020,06051,이매아파트 101-1101,3000
2030,임창모,010-1010-2030,06051,이매아파트 101-1101,2000
2040,임영택,010-1010-2040,06051,이매아파트 101-1101,5000
2050,추자연,010-1010-2050,06051,이매아파트 101-1101,5000
2060,이지우,010-1010-2060,06051,이매아파트 101-1101,5000
2070,이상수,010-1010-2070,06051,이매아파트 101-1101,5000
2080,전우회,010-1010-2080,06051,이매아파트 101-1101,5000
2090,박치기,010-1010-2090,06051,이매아파트 101-1101,5000
